Name,Price,Rating
"15.6"" Lenovo ThinkPad Gaming Laptop PC: Intel i7 Quad Core! 16GB RAM! 1TB SSD!",$329.95,No rating
"Dell Latitude 15.6"" Laptop Intel Core i5 64GB RAM 4TB SSD Wi-Fi Windows 11 Pro",$344.00to$801.00,No rating
"Dell Latitude 7400 Touch Laptop 14"" FHD Intel Core i5 16GB 256GB SSD Windows 11",$219.99,No rating
Shop on eBay,$20.00,No rating
Shop on eBay,$20.00,No rating
"Dell Latitude 15.6"" Laptop Intel Core i5 64GB RAM 4TB SSD Wi-Fi Windows 11 Pro",$344.00to$801.00,No rating
"HP 15.6"" FHD Gaming Laptop AMD Ryzen 3 Radeon Graphics 8GB DDR5 256GB SSD Win 11",$244.99,No rating
"Dell Chromebook 11 3189 11.6"" 1.6GHz Celeron 4GB RAM 1.8GB Chrome Grade C No AC",$24.99,No rating
"Dell Latitude 3310 13"" Laptop Computer PC Windows 11 Celeron 16GB RAM 256GB SSD",$111.99,No rating
"Dell Chromebook 3180 Laptop 11.6"" Celeron 4GB RAM 32GB SSD Chrome OS WiFi HDMI",$54.99,5.0 out of 5 stars.
"~OVERSTOCK~ 14"" Dell Latitude Laptop: 16GB RAM! 256GB SSD! Windows 10 Pro! FHD!",$174.99,No rating
"~OVERSTOCK SALE~ 13.3"" TouchScreen HP EliteBook: Intel i7! 16GB RAM! 256GB SSD!",$249.95,No rating
Dell Latitude 5420 Intel i71185G7 32GB RAM 512GB SSD 14 Inch FHD Win 11 Pro,$369.99,No rating
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 8GB 128GB SSD Webcam Win11 Home Red",$187.06,No rating
Dell Latitude 7400 14 FHD Touch Intel i7-8665U 32GB 512GB SSD Win 11 Pro Laptop,$337.99,5.0 out of 5 stars.
"15.6"" Lenovo ThinkPad Gaming Laptop PC: Intel i7 Quad Core! 16GB RAM! 1TB SSD!",$329.95,No rating
"Lenovo ThinkPad T490 14"" i5-8365U @ 1.60GHz 16GB/256GB Win 11 Pro",$199.49,No rating
"~CLEARANCE SALE~ 13.3"" TouchScreen HP EliteBook: Intel i7! 8GB RAM! 256GB SSD!",$244.99,No rating
"Lenovo Chromebook N23 11.6"" Celeron 1.6GHz 4GB RAM 16GB SSD",$39.99,4.5 out of 5 stars.
Dell Latitude 7400 Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 4TB SSD Win 11,$398.00to$841.00,No rating
"Dell Latitude Laptop PC Computer 13.3"" Core i3 8GB RAM 256GB SSD Windows 11 WiFi",$149.99,No rating
"Toshiba Tecra X40-D i5-7300U 2.8GHz 8GB  256GB SSD 14"" USB-C HDMI Backlit Keys",$165.00,No rating
"Dell XPS 15.6"" Laptop - Core i7  - 16GB - 512GB - Very Good - Windows 11 Pro",$550.00,No rating
"HP Elitedesk 840 G6 Laptop Intel Core i5-8365U 16GB Ram 256GB SSD 14.0"" FHD W11P",$209.99,4.5 out of 5 stars.
"Lenovo ThinkPad  T14 Gen 1 14"" FHD Touchscreen  i7-10610U 16GB/512GB Win 11 Pro",$313.49,No rating
"14"" Lenovo ThinkPad Laptop: Intel i5 Quad Core! 16GB RAM! 1TB SSD! Windows 11!",$249.95,No rating
Dell Precision M6800 17.3” Laptop PC Core i7 16GB RAM 256GB SSD Windows 10 WiFi,$264.80,No rating
"Dell Latitude 3190 11.6"" Touchscreen Laptop Windows 10 Pentium 8GB RAM 128GB SSD",$99.99,No rating
"Lenovo ThinkPad T480 - FHD 14"" i5-8350U @ 1.70GHz  16GB/256GB Windows 11 Pro",$198.99,No rating
Dell Latitude Rugged 14” Laptop PC Core i5 8GB RAM 256GB SSD Windows 10 Pro HDMI,$249.99,No rating
"DELL Latitude 5400 Laptop Intel Core i5-8365U 16GB 512GB NVMe SSD 14"" FHD W11P",$214.99,5.0 out of 5 stars.
"~11TH GEN~ 14"" TouchScreen Dell Gaming Laptop PC: Backlit Keyboard! Webcam! FHD!",$439.95,No rating
"Lenovo ThinkPad X280 12.5"" FHD Laptop Intel i5-8350U 1.7GHz, 8GB 256GB W10P",$169.99,No rating
"HP EliteBook 850 G5 15.6"" 64GB RAM 4TB SSD Intel Quad Core i7 4.80GHz AMD Radeon",$419.00to$861.00,No rating
CHUWI 14.1'' 3.1Ghz Intel Core i5 Windwos 11 Laptop 16GB RAM 256GB SSD Gray,$224.99,No rating
"HP Chromebook 11 G6 11.6"" Intel 2.40 GHz 4 GB RAM 16 GB eMMC Bluetooth Webcam SD",$79.99,No rating
"HP 17-CN3165CL 17.3"" HD+ Touch Laptop Intel Core i7-1355U 16GB DDR4 1TB SSD W11H",$479.00,No rating
"Dell Laptop PC Computer 11.6"" Celeron Windows 10 4GB RAM 64GB SSD HDMI WiFi",$89.50,No rating
"Lenovo ThinkPad T490 Laptop Intel Core i7-8665U 16GB RAM 256 GB SSD 14"" W11P",$249.99,No rating
"HP 17"" FHD Laptop Intel N4120 128GB SSD 4GB Win 11 BT Webcam Mic Pick Color",$249.99,No rating
~OVERSTOCK~ Dell Latitude Laptop PC: Intel i5! 8GB RAM! 500GB HDD! Windows 10!,$149.95,No rating
"~OVERSTOCK~ 14"" HP ProBook Laptop: 16GB RAM! 1TB SSD! Backlit Keyboard! Win11!",$269.99,No rating
"~WINDOWS 11 PRO~ 14"" Lenovo ThinkPad Laptop: Intel i5 QC! 16GB RAM! 256GB SSD!",$229.99,No rating
Lenovo ThinkPad 11e Touchscreen 2-in-1 Laptop PC 4GB RAM 256GB SSD Windows 10,$109.99,No rating
Mint Linux Dell 3180 11.6 Celeron N3060 1.6 GHz 4GB 32 GB eMMC Laptop HD,$59.99,No rating
"Dell Latitude 7390 Laptop Computer 13.3"" Core i5 8GB RAM 128GB SSD Windows 11",$189.98,No rating
DELL Latitude 5320 Laptop Intel Core i7-1185G7 32GB Memory 512 GB SSD Intel Iris,$389.99,No rating
"Dell Latitude Laptop Computer 13.3"" PC Windows 10 Core i3 8GB RAM 256GB SSD HDMI",$129.99,No rating
"HP EliteBook 745 G6 14"" Laptop AMD Ryzen 7 PRO 16GB 512GB SSD Win 11 Pro B v.WCA",$244.99,No rating
"15.6"" Dell Latitude Laptop PC: Intel i7 Hexa-Core! 32GB RAM! 1TB SSD! Windows 11",$397.95,No rating
"~OVERSTOCK~ 15.6"" Dell Latitude Laptop: Intel i5 Quad Core! 16GB RAM! 512GB SSD!",$279.99,No rating
"Dell Latitude 3301 Laptop PC Computer 13.3"" Windows 11 Core i3 8GB RAM 256GB SSD",$159.99,No rating
DELL Latitude 5410 Laptop Intel Core i5-10310U 1.7GHz 16GB RAM 256GB SSD W11P,$219.99,No rating
"Dell Latitude 13.3"" Laptop PC Computer Core i3 8GB RAM 500GB HD WiFi Windows 10",$129.99,No rating
"Lenovo ThinkPad L490 Laptop Intel Core i5-8365U 16GB RAM 256GB SSD 14.0"" W10P",$219.99,No rating
Dell Latitude Laptop: Intel i7 Quad Core! 32GB RAM! 512GB SSD! Windows 11 Pro!,$349.97,No rating
"HP 15 Laptop 15.6"" HD Pentium Quad-Core N200 16GB 128GB SSD Webcam Win 11 Red",$215.26,No rating
"HP 11-ak0013dx 11.6"" HD Laptop Intel Celeron N4020 1.1GHz 4GB RAM 64GB eMMC W10S",$69.99,No rating
"Lenovo ThinkPad X1 Carbon Gen 9 14"" WUXGA Touch i5-1145G7 32GB 512GB FPR W11P",$549.00,No rating
